text,translation,note,categories
my phone number is +1 (800) 555-0199,私の電話番号は+1 (800) 555-0199です,,"numbers,symbols,medium"
the meeting is scheduled for 2026-04-15 at 09:30,会議は2026-04-15の09:30に予定されています,,"numbers,symbols,medium"
the price is $49.99 per month or $499.00 per year,料金は月額$49.99または年額$499.00です,,"numbers,symbols,medium"
visit us at https://www.example.com/contact,お問い合わせは https://www.example.com/contact をご覧ください,,"numbers,symbols,medium"
IPv4 address range: 192.168.0.1 - 192.168.0.254,IPv4アドレス範囲は192.168.0.1から192.168.0.254です,,"numbers,symbols,medium"
the PI value is approximately 3.14159265358979,円周率の値はおよそ3.14159265358979です,,"numbers,symbols,medium"
set the timeout to 30000 ms (30 seconds),タイムアウトを30000ミリ秒（30秒）に設定してください,,"numbers,symbols,medium"
user account #00472 was created on 2025-01-01,ユーザーアカウント#00472は2025-01-01に作成されました,,"numbers,symbols,medium"
the discount code is SAVE20 for 20% off,割引コードSAVE20で20%オフになります,,"numbers,symbols,medium"
please type your 6-digit PIN: ______,6桁のPINを入力してください,,"numbers,symbols,medium"
"the regex pattern is ^[a-zA-Z0-9._%+-]+@[a-zA-Z]+\.[a-zA-Z]{2,}$",正規表現パターンはメールアドレス形式を表しています,,"numbers,symbols,medium"
order #ORD-2026-00892 was shipped via FedEx tracking 794644823798,注文番号#ORD-2026-00892はFedEx追跡番号794644823798で発送されました,,"numbers,symbols,medium"
temperature: -12.5 degrees Celsius (10 degrees Fahrenheit),気温は摂氏-12.5度（華氏10度）です,,"numbers,symbols,medium"
the binary number 10110101 equals 181 in decimal,2進数10110101は10進数で181です,,"numbers,symbols,medium"
memory usage: 1024 MB / 4096 MB (25%),メモリ使用量は4096MB中1024MB（25%）です,,"numbers,symbols,medium"
chapter 3: section 3.2.1 on pages 47-53,第3章の47〜53ページにある3.2.1節です,,"numbers,symbols,medium"
release version 2.1.0-beta.3 published at 2026/03/28,リリース版2.1.0-beta.3は2026/03/28に公開されました,,"numbers,symbols,medium"
the ratio is 16:9 and the resolution is 3840x2160,比率は16対9で解像度は3840x2160です,,"numbers,symbols,medium"
"sales figure for Q1: $1,234,567.89","第1四半期の売上高は$1,234,567.89です",,"numbers,symbols,medium"
connect via SSH on port 22 or SFTP on port 22,SSHは22番ポート SFTPも22番ポートで接続します,,"numbers,symbols,medium"
the equation is f(x) = 2x^2 - 3x + 7,方程式は f(x) = 2x^2 - 3x + 7 です,,"numbers,symbols,medium"
coupon: BUY2GET1 saves you $15.00 on orders over $50,クーポンBUY2GET1で$50超の注文から$15節約できます,,"numbers,symbols,medium"
latitude 35.6762 N and longitude 139.6503 E,緯度35.6762北 経度139.6503東です,,"numbers,symbols,medium"
max score: 10000 pts | current: 8750 pts (87.5%),最大スコアは10000点 現在は8750点（87.5%）です,,"numbers,symbols,medium"
the hex color code for sky blue is #87CEEB,空色の16進カラーコードは#87CEEBです,,"numbers,symbols,medium"
"invoice total: €1,284.50 due by 2026-05-31","請求総額は €1,284.50 で 支払期限は 2026-05-31 です",,"numbers,symbols,medium"
backup completed at 23:59:59 with exit code 0,バックアップは 23:59:59 に終了し 終了コードは 0 でした,,"numbers,symbols,medium"
call extension 204 and enter access code *771#,内線 204 に電話し アクセスコード *771# を入力してください,,"numbers,symbols,medium"
package dimensions: 32cm x 18cm x 11cm @ 2.4kg,荷物の寸法は 32cm x 18cm x 11cm 重さは 2.4kg です,,"numbers,symbols,medium"
coordinates updated to 51.5074 N 0.1278 W at 14:05 UTC,座標は 14:05 UTC 時点で 51.5074 N 0.1278 W に更新された,,"numbers,symbols,medium"
